Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
11,10,0.001,0.8953224101479915,0.8923593393499084,0.8938408747489499
11,11,0.0009090909090909091,0.8953224101479915,0.8923593393499084,0.8938408747489499
11,12,0.0008333333333333334,0.8953224101479915,0.8923593393499084,0.8938408747489499
11,13,0.0007692307692307692,0.8953224101479915,0.892566991855355,0.8939447010016732
11,14,0.0007142857142857143,0.8953224101479915,0.892566991855355,0.8939447010016732
12,10,0.001,0.8953224101479915,0.8923593393499084,0.8938408747489499
12,11,0.0009090909090909091,0.8953224101479915,0.8923593393499084,0.8938408747489499
12,12,0.0008333333333333334,0.8953224101479915,0.8923593393499084,0.8938408747489499
12,13,0.0007692307692307692,0.8953224101479915,0.892566991855355,0.8939447010016732
12,14,0.0007142857142857143,0.8953224101479915,0.892566991855355,0.8939447010016732
13,10,0.001,0.8953224101479915,0.8923593393499084,0.8938408747489499
13,11,0.0009090909090909091,0.8953224101479915,0.8923593393499084,0.8938408747489499
13,12,0.0008333333333333334,0.8953224101479915,0.8923593393499084,0.8938408747489499
13,13,0.0007692307692307692,0.8953224101479915,0.892566991855355,0.8939447010016732
13,14,0.0007142857142857143,0.8953224101479915,0.892566991855355,0.8939447010016732
14,10,0.001,0.8953224101479915,0.8923593393499084,0.8938408747489499
14,11,0.0009090909090909091,0.8953224101479915,0.8923593393499084,0.8938408747489499
14,12,0.0008333333333333334,0.8953224101479915,0.8923593393499084,0.8938408747489499
14,13,0.0007692307692307692,0.8953224101479915,0.892566991855355,0.8939447010016732
14,14,0.0007142857142857143,0.8953224101479915,0.892566991855355,0.8939447010016732
15,10,0.001,0.8953224101479915,0.8923593393499084,0.8938408747489499
15,11,0.0009090909090909091,0.8953224101479915,0.8923593393499084,0.8938408747489499
15,12,0.0008333333333333334,0.8953224101479915,0.8923593393499084,0.8938408747489499
15,13,0.0007692307692307692,0.8953224101479915,0.892566991855355,0.8939447010016732
15,14,0.0007142857142857143,0.8953224101479915,0.892566991855355,0.8939447010016732
